Json Log,Receive Time,Resource labels container group name,Resource labels container group version,Resource labels instance id,Resource labels machine id,Resource labels organization id,Resource labels organization name,Resource labels project name,Resource type,Severity,Text Log,Time
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,│                                                                              │,"2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,│   129                                                                        │,"2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,"│   128 │   import_string = f""{mod_data.module_import_str}:{use_app_name}""     │","2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,│   127 │                                                                      │,"2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,"│ ❱ 126 │   use_app_name = get_app_name(mod_data=mod_data, app_name=app_name)  │","2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,"│   125 │   sys.path.insert(0, str(mod_data.extra_sys_path))                   │","2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,│   124 │   mod_data = get_module_data_from_path(path)                         │,"2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,"│   123 │   │   raise FastAPICLIException(f""Path does not exist {path}"")       │","2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,│                                                                              │,"2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,│ get_import_data                                                              │,"2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,│ /usr/local/lib/python3.13/site-packages/fastapi_cli/discover.py:126 in       │,"2/14/2026, 12:25:52 AM"
